struct_index,bstate_id,orig_label,basin,fold_frac,margin,rmsd_global,rmsd_stem,rmsd_loop,mindist,Q_stem_sig,Q_loop_sig,Q_stem_hard,Q_loop_hard,n_stem_bp,loop_contact_count,chi_G9,g9_syn,rog,d_e2e
53,intermediate_44,intermediate,transition,0.3654,-0.2693,6.5328,7.4552,0.5555,22.0384,0.2346,0.8209,0.2857,1.0000,1.0000,4.0000,88.5316,1.0000,12.5349,25.6013
54,intermediate_45,intermediate,transition,0.8130,0.6260,2.1659,2.3156,0.9471,3.5630,0.4300,0.5687,0.5714,0.5000,3.0000,2.0000,34.4760,1.0000,9.9874,6.1406
55,intermediate_46,intermediate,unfolded_side,0.1468,-0.7064,9.6877,10.6976,0.7627,25.6924,0.1571,0.7010,0.2143,0.7500,1.0000,3.0000,74.4769,1.0000,12.9034,39.8949
56,intermediate_47,intermediate,unfolded_side,0.1210,-0.7579,10.2553,11.4916,0.4173,32.9754,0.2136,0.7545,0.2857,1.0000,1.0000,4.0000,72.1703,1.0000,13.3305,41.5191
57,intermediate_48,intermediate,unfolded_side,0.1106,-0.7789,9.9919,10.6527,0.4492,30.0965,0.1567,0.7928,0.2143,1.0000,1.0000,4.0000,76.1223,1.0000,13.2421,39.7837
58,intermediate_49,intermediate,unfolded_side,0.1257,-0.7485,9.0248,10.2036,0.6891,30.5907,0.0061,0.8118,0.0000,1.0000,0.0000,4.0000,106.5999,1.0000,13.1599,35.8447
59,intermediate_50,intermediate,unfolded_side,0.1223,-0.7554,11.9176,13.1404,0.6591,36.3652,0.0020,0.7795,0.0000,1.0000,0.0000,4.0000,67.3130,1.0000,13.8451,46.3624
60,unfolded_01,unfolded,unfolded_side,0.1902,-0.6197,14.9153,14.6118,4.3301,41.8611,0.0000,0.2005,0.0000,0.2500,0.0000,1.0000,38.5632,1.0000,14.7517,45.1274
61,unfolded_02,unfolded,unfolded_side,0.0908,-0.8184,12.4281,13.0622,3.4100,28.5977,0.0002,0.0491,0.0000,0.0000,0.0000,0.0000,25.3664,1.0000,13.8243,42.2926
62,unfolded_03,unfolded,unfolded_side,0.0754,-0.8491,12.0147,11.7304,4.2672,28.6109,0.0002,0.0561,0.0000,0.0000,0.0000,0.0000,38.0329,1.0000,13.4870,35.2176
63,unfolded_04,unfolded,unfolded_side,0.1264,-0.7472,12.8264,13.2555,4.6913,34.8144,0.0001,0.0331,0.0000,0.0000,0.0000,0.0000,38.3190,1.0000,14.5083,40.8283
64,unfolded_05,unfolded,unfolded_side,0.1267,-0.7465,13.4311,12.9357,3.9232,23.9730,0.0001,0.1998,0.0000,0.2500,0.0000,1.0000,48.8653,1.0000,13.9341,37.9317
65,unfolded_06,unfolded,unfolded_side,0.1663,-0.6675,11.6204,11.6628,3.6498,28.5515,0.0001,0.0286,0.0000,0.0000,0.0000,0.0000,39.2277,1.0000,12.1505,31.3447
66,unfolded_07,unfolded,unfolded_side,0.1133,-0.7734,13.4587,13.3521,4.5051,28.3290,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,51.7901,1.0000,14.0672,37.7449
67,unfolded_08,unfolded,unfolded_side,0.1139,-0.7723,13.5903,13.3118,4.1915,33.4584,0.0000,0.0063,0.0000,0.0000,0.0000,0.0000,37.9272,1.0000,14.0540,37.5906
68,unfolded_09,unfolded,unfolded_side,0.0906,-0.8188,13.2268,12.2761,4.3051,32.9189,0.0000,0.0232,0.0000,0.0000,0.0000,0.0000,39.5795,1.0000,13.8011,41.1507
69,unfolded_10,unfolded,unfolded_side,0.0774,-0.8452,12.8688,11.8619,4.5265,28.6730,0.0000,0.0104,0.0000,0.0000,0.0000,0.0000,32.8550,1.0000,13.6590,40.3549
